bound_active_params,evidence_reliable,evidence_warning,is_selected_model,model,n_bound_active,probability,probs_reliable_all_models,round,scenario,seed,selected_model,strategy,tracked_correct_model,truth_in_candidate_family
,1,,1,wls,0,1.0,1,1,S1_ideal,1,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,1,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,1,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,1,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,1,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,1,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,1,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,1,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,1,S1_ideal,2,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,2,S1_ideal,2,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,2,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,2,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,2,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,2,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,2,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,2,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,3,wls,E,,0
k2_ref;K1_ref;K2_ref,1,,1,wls,3,1.0,1,2,S1_ideal,3,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,3,S1_ideal,3,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,4,S1_ideal,3,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,5,S1_ideal,3,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,6,S1_ideal,3,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,7,S1_ideal,3,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,8,S1_ideal,3,wls,E,,0
K1_ref;K2_ref,1,,1,wls,2,1.0,1,1,S1_ideal,4,wls,E,,0
,1,,1,wls,0,1.0,1,2,S1_ideal,4,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,4,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,4,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,4,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,4,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,4,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,4,wls,E,,0
k2_ref;Ea2_J;K2_ref,1,,1,wls,3,1.0,1,1,S1_ideal,5,wls,E,,0
k2_ref;K1_ref;K2_ref,1,,1,wls,3,1.0,1,2,S1_ideal,5,wls,E,,0
,1,,1,wls,0,1.0,1,3,S1_ideal,5,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,5,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,5,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,5,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,5,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,5,wls,E,,0
,1,,1,wls,0,1.0,1,1,S1_ideal,6,wls,E,,0
Ea2_J,1,,1,wls,1,1.0,1,2,S1_ideal,6,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,3,S1_ideal,6,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,6,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,6,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,6,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,6,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,6,wls,E,,0
k2_ref;Ea2_J,1,,1,wls,2,1.0,1,1,S1_ideal,7,wls,E,,0
k2_ref;K1_ref,1,,1,wls,2,1.0,1,2,S1_ideal,7,wls,E,,0
K1_ref,1,,1,wls,1,1.0,1,3,S1_ideal,7,wls,E,,0
,1,,1,wls,0,1.0,1,4,S1_ideal,7,wls,E,,0
,1,,1,wls,0,1.0,1,5,S1_ideal,7,wls,E,,0
,1,,1,wls,0,1.0,1,6,S1_ideal,7,wls,E,,0
,1,,1,wls,0,1.0,1,7,S1_ideal,7,wls,E,,0
,1,,1,wls,0,1.0,1,8,S1_ideal,7,wls,E,,0
